ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
PS51257,PS51257,10,0.8020475358553666,1.5955684376001766,0.00993898386945648,0.5267661450811933,0.5126423258982815,470,"tags=60%, list=20%, signal=48%",Q9BQP7/Q01813/Q8N3C0/P11047/P00338/P23921
PF00004,PF00004,16,0.7197303891434714,1.4946055633987787,0.007846610895282524,0.5267661450811933,0.5126423258982815,80,"tags=19%, list=3%, signal=18%",Q9UN37/Q8WVB6/P35249
PF00443,PF00443,10,0.7330229579563341,1.4582530878348836,0.043168253753545514,0.5719793622344781,0.5566432720851922,155,"tags=30%, list=6%, signal=28%",Q70CQ2/O94966/O94782
PS00972,PS00972,10,0.7330229579563341,1.4582530878348836,0.043168253753545514,0.5719793622344781,0.5566432720851922,155,"tags=30%, list=6%, signal=28%",Q70CQ2/O94966/O94782
PS00973,PS00973,10,0.7330229579563341,1.4582530878348836,0.043168253753545514,0.5719793622344781,0.5566432720851922,155,"tags=30%, list=6%, signal=28%",Q70CQ2/O94966/O94782
PS50235,PS50235,10,0.7330229579563341,1.4582530878348836,0.043168253753545514,0.5719793622344781,0.5566432720851922,155,"tags=30%, list=6%, signal=28%",Q70CQ2/O94966/O94782
PS00674,PS00674,13,0.7017237132326956,1.4208799517764632,0.03196803196803197,0.5719793622344781,0.5566432720851922,1,"tags=8%, list=0%, signal=8%",Q9UN37
PF17862,PF17862,12,0.7019364430039168,1.4160477493220327,0.03296703296703297,0.5719793622344781,0.5566432720851922,1,"tags=8%, list=0%, signal=8%",Q9UN37
PF01399,PF01399,13,0.678181477266471,1.3732106333914555,0.055944055944055944,0.6588966588966589,0.6412301149143255,285,"tags=38%, list=12%, signal=34%",Q13098/Q15008/O43242/Q9BT78/Q9UBW8
PS51450,PS51450,12,0.671835853184907,1.355324484571642,0.06393606393606394,0.6777222777222777,0.6595509753404489,498,"tags=50%, list=21%, signal=40%",Q92688/Q9Y2I1/Q96AG4/Q8N1G4/Q6UWE0/Q96CX6
PS50077,PS50077,10,0.6709101590900208,1.3346878164368439,0.09090909090909091,0.8658400423106305,0.8426248673926692,339,"tags=50%, list=14%, signal=43%",P30154/Q86Y56/Q8TF05/Q8TEX9/Q92616
PS50118,PS50118,10,0.651360380169792,1.2957960939232753,0.11288711288711288,0.8658400423106305,0.8426248673926692,641,"tags=40%, list=27%, signal=29%",Q08945/Q00059/O15347/O75717
PF00515,PF00515,10,0.6503766128959517,1.2938390178873649,0.11488511488511488,0.8658400423106305,0.8426248673926692,122,"tags=20%, list=5%, signal=19%",Q99614/O43765
PS50250,PS50250,16,0.6034593026451528,1.2531548544053497,0.12387612387612387,0.8658400423106305,0.8426248673926692,285,"tags=31%, list=12%, signal=28%",Q13098/Q15008/O43242/Q9BT78/Q9UBW8
PS01359,PS01359,12,0.6190132346415887,1.2487630560447793,0.13886113886113885,0.8658400423106305,0.8426248673926692,831,"tags=67%, list=35%, signal=44%",Q9UK53/Q12830/Q92794/Q9BY66/Q9UPN9/Q14839/Q9BTC0/Q13263
PS50016,PS50016,12,0.6190132346415887,1.2487630560447793,0.13886113886113885,0.8658400423106305,0.8426248673926692,831,"tags=67%, list=35%, signal=44%",Q9UK53/Q12830/Q92794/Q9BY66/Q9UPN9/Q14839/Q9BTC0/Q13263
ENZYME_2,ENZYME_2,135,0.47079554001827084,1.1234082375797885,0.1028971028971029,0.8658400423106305,0.8426248673926692,739,"tags=36%, list=31%, signal=27%",O43252/Q8IVS2/Q9Y697/P17858/Q9BZX2/P12532/Q8TD30/P07741/Q9Y617/P09884/Q6YP21/P00492/O43148/Q01813/P06213/O75390/P35573/Q15418/P23786/Q06210/Q01581/P36507/Q16222/P22087/P50416/P09874/P19623/Q9BYW2/P22102/P54819/P07947/P51003/P15531/P30085/P52788/O15294/Q8NEB9/P06493/O75223/Q06203/Q9BRS2/O96007/P37837/Q9BWD1/P54886/Q9NP73/Q9NYU2/P24752/P00558
PF13181,PF13181,18,0.5763123441174782,1.206599721356503,0.15984015984015984,0.9412809412809413,0.9160430213061791,226,"tags=22%, list=9%, signal=20%",Q99614/O43765/Q6PD62/Q99615
PS50030,PS50030,11,0.5984078061869402,1.1999044628252031,0.2007992007992008,0.980671502410633,0.9543774303499704,195,"tags=18%, list=8%, signal=17%",Q96EP0/P61086
PF07653,PF07653,10,0.601788367397257,1.1971790725720208,0.21178821178821178,0.980671502410633,0.9543774303499704,482,"tags=40%, list=20%, signal=32%",Q9UDY2/P52735/Q07157/Q9UQB8
PF00226,PF00226,13,0.5799787136772764,1.1743655105009598,0.2127872127872128,0.980671502410633,0.9543774303499704,226,"tags=38%, list=9%, signal=35%",Q8IXB1/Q96EY1/P25685/Q96KC8/Q99615
PS50076,PS50076,13,0.5799787136772764,1.1743655105009598,0.2127872127872128,0.980671502410633,0.9543774303499704,226,"tags=38%, list=9%, signal=35%",Q8IXB1/Q96EY1/P25685/Q96KC8/Q99615
ENZYME_1,ENZYME_1,102,0.46416563143150774,1.094084651395114,0.17882117882117882,0.980671502410633,0.9543774303499704,940,"tags=46%, list=39%, signal=29%",P07919/P14550/P04179/Q9Y6M9/Q3SY69/Q00796/O15460/P40925/P15954/P49419/P31040/P16152/Q02252/O95139/P30041/O95881/P00338/P09622/P51970/P31350/P02794/Q16836/P35270/P48735/O60701/P23921/Q96C36/O75251/P10606/P11413/P04406/P51553/P49821/P50213/Q9UDW1/P54886/O43175/P30519/O75438/P28331/Q9UBQ7/Q06830/P14927/P09601/P00374/P11177/P31937
PF00628,PF00628,11,0.5831460365028287,1.1693021455338157,0.23376623376623376,0.9920079920079921,0.9654099624308166,831,"tags=64%, list=35%, signal=42%",Q12830/Q92794/Q9BY66/Q9UPN9/Q14839/Q9BTC0/Q13263
PF14604,PF14604,10,0.5572050597264471,1.1084864260850549,0.3256743256743257,0.9920079920079921,0.9654099624308166,57,"tags=10%, list=2%, signal=10%",Q9Y5K6
PF00169,PF00169,14,0.5301834421942209,1.0823016367399236,0.34165834165834164,0.9920079920079921,0.9654099624308166,311,"tags=21%, list=13%, signal=19%",Q96SU4/P52735/Q9UKG1
PS50862,PS50862,10,0.5409843379867284,1.076217426448533,0.3706293706293706,0.9920079920079921,0.9654099624308166,565,"tags=50%, list=24%, signal=38%",P12081/Q15046/Q9Y285/Q9BW92/P41250
PS50297,PS50297,19,0.5073637226867116,1.0674991938331344,0.36863136863136864,0.9920079920079921,0.9654099624308166,257,"tags=21%, list=11%, signal=19%",P42771/Q8IWZ3/Q9P2R3/Q6W2J9
PF03144,PF03144,10,0.534037130487393,1.062396867791025,0.3926073926073926,0.9920079920079921,0.9654099624308166,936,"tags=60%, list=39%, signal=37%",P68104/O00178/P15170/P13639/Q9Y450/Q05639
PS50082,PS50082,50,0.46601448225040326,1.0582328366245919,0.3276723276723277,0.9920079920079921,0.9654099624308166,900,"tags=50%, list=38%, signal=32%",Q9H7D7/O95834/O43684/Q15061/Q9BR76/Q9GZL7/Q9BV38/P55735/O94979/P53621/Q9NRL3/Q9Y3F4/Q9GZS3/Q8TEQ6/Q5TAQ9/P57737/Q9NRG9/O75717/O75083/Q9Y263/Q16576/Q149M9/Q09028/Q9HCU5/Q9C0C7
PS00018,PS00018,28,0.4860501058491021,1.0563220030487908,0.37162837162837165,0.9920079920079921,0.9654099624308166,608,"tags=29%, list=25%, signal=22%",Q8IXI1/P31949/O95202/P42566/P28676/Q15293/O43852/P13797
PS00518,PS00518,16,0.508430962707626,1.0558172295202823,0.3926073926073926,0.9920079920079921,0.9654099624308166,930,"tags=50%, list=39%, signal=31%",Q99590/Q96EP0/Q96F44/P78317/Q9UPN9/Q99496/O15541/Q1L5Z9
PF00595,PF00595,26,0.4857694666550818,1.0514621932122594,0.3776223776223776,0.9920079920079921,0.9654099624308166,785,"tags=42%, list=33%, signal=29%",O14745/Q96L92/P50479/Q9UDY2/Q07157/P55196/Q8TEW0/Q12923/O00151/Q5EBL8/Q8TEU7
PS50005,PS50005,32,0.47650857645603184,1.044696446437253,0.3826173826173826,0.9920079920079921,0.9654099624308166,453,"tags=25%, list=19%, signal=21%",Q99614/O15460/O43765/Q6PD62/Q99615/Q15006/Q9UNE7/O00170
PF00400,PF00400,50,0.45899930980328923,1.0423026753938274,0.36063936063936064,0.9920079920079921,0.9654099624308166,900,"tags=50%, list=38%, signal=32%",Q9H7D7/O95834/O43684/Q15061/Q9BR76/Q9GZL7/Q9BV38/P55735/P53621/Q9NRL3/Q9Y3F4/Q9GZS3/Q8TEQ6/Q5TAQ9/Q6RFH5/P57737/Q9NRG9/O75717/O75083/Q9Y263/Q16576/Q149M9/Q09028/Q9HCU5/Q9C0C7
PF00009,PF00009,12,0.5126158717180511,1.0341229019349374,0.42857142857142855,0.9920079920079921,0.9654099624308166,936,"tags=58%, list=39%, signal=36%",P68104/O00178/P15170/P13639/Q9Y450/Q7Z2Z2/Q05639
PS51722,PS51722,12,0.5126158717180511,1.0341229019349374,0.42857142857142855,0.9920079920079921,0.9654099624308166,936,"tags=58%, list=39%, signal=36%",P68104/O00178/P15170/P13639/Q9Y450/Q7Z2Z2/Q05639
PS50294,PS50294,51,0.4534304973537745,1.0301364295233417,0.4005994005994006,0.9920079920079921,0.9654099624308166,900,"tags=49%, list=38%, signal=31%",Q9H7D7/O95834/O43684/Q15061/Q9BR76/Q9GZL7/Q9BV38/P55735/O94979/P53621/Q9NRL3/Q9Y3F4/Q9GZS3/Q8TEQ6/Q5TAQ9/P57737/Q9NRG9/O75717/O75083/Q9Y263/Q16576/Q149M9/Q09028/Q9HCU5/Q9C0C7
PS00178,PS00178,12,0.5084646671923154,1.0257484915674011,0.44655344655344653,0.9920079920079921,0.9654099624308166,1013,"tags=67%, list=42%, signal=39%",P26640/Q9Y2Z4/Q5ST30/P47897/Q15031/P54136/P23381/P41252
PS50293,PS50293,34,0.4610253865071567,1.0176338690374473,0.4355644355644356,0.9920079920079921,0.9654099624308166,453,"tags=24%, list=19%, signal=19%",Q99614/O15460/O43765/Q6PD62/Q99615/Q15006/Q9UNE7/O00170
ENZYME_5,ENZYME_5,25,0.4690334764867313,1.0126885700012922,0.4675324675324675,0.9920079920079921,0.9654099624308166,590,"tags=32%, list=25%, signal=24%",Q96PE7/Q14376/P14174/O60832/Q9NPH2/P07237/O95394/Q96G03
PS50106,PS50106,27,0.4644935374168028,1.006701397587098,0.4725274725274725,0.9920079920079921,0.9654099624308166,785,"tags=41%, list=33%, signal=28%",O14745/Q96L92/P50479/Q9UDY2/Q07157/P55196/Q8TEW0/Q12923/O00151/Q5EBL8/Q8TEU7
PS50835,PS50835,11,0.4982226900696163,0.9990170968935423,0.4965034965034965,0.9920079920079921,0.9654099624308166,659,"tags=36%, list=28%, signal=26%",Q9BY67/Q13308/P13591/P15151
PS50089,PS50089,29,0.45534545637118506,0.9919785997316831,0.5004995004995005,0.9920079920079921,0.9654099624308166,930,"tags=45%, list=39%, signal=28%",P98170/Q99590/Q96F44/P78317/Q6UWE0/Q9Y3C5/Q9UPN9/Q99496/Q9NVW2/Q13263/O15541/Q96T51/Q1L5Z9
PS50003,PS50003,25,0.4570517331272372,0.9868188290187594,0.5204795204795205,0.9920079920079921,0.9654099624308166,311,"tags=16%, list=13%, signal=14%",Q9BZF3/Q96SU4/P52735/Q9UKG1
PS00014,PS00014,21,0.46289157778325907,0.9850471332618967,0.5094905094905094,0.9920079920079921,0.9654099624308166,568,"tags=38%, list=24%, signal=29%",Q8IXB1/Q9HCN8/Q14554/Q9BS26/P14625/P07237/Q15293/P50454
ENZYME_4,ENZYME_4,20,0.45868288220363773,0.9709831221344201,0.5524475524475524,0.9920079920079921,0.9654099624308166,1291,"tags=85%, list=54%, signal=39%",Q6YP21/P30084/P00918/P13929/Q16822/Q99798/P32929/P35914/P07954/P09972/P06733/P35520/P22234/P40939/Q04760/P30566/O43306
PS50222,PS50222,31,0.437400610873056,0.9575007926428717,0.5874125874125874,0.9920079920079921,0.9654099624308166,608,"tags=26%, list=25%, signal=19%",Q8IXI1/P31949/O95202/P42566/P28676/Q15293/O43852/P13797
PF00168,PF00168,10,0.4772980692833942,0.9495219430652533,0.5714285714285714,0.9920079920079921,0.9654099624308166,928,"tags=40%, list=39%, signal=25%",Q6WKZ4/Q9BSJ8/Q9UJF2/Q6P1N0
PS50174,PS50174,13,0.4682362859828396,0.9481047011826828,0.5694305694305695,0.9920079920079921,0.9654099624308166,674,"tags=46%, list=28%, signal=33%",Q96BK5/Q96I25/Q8IWX8/P52756/Q9UKJ3/Q92917
PS52002,PS52002,10,0.47302152486876503,0.9410143185356168,0.5844155844155844,0.9920079920079921,0.9654099624308166,519,"tags=30%, list=22%, signal=24%",O15116/P62318/Q3MHD2
PS50021,PS50021,24,0.43420915175721253,0.9332222731584698,0.6153846153846154,0.9920079920079921,0.9654099624308166,700,"tags=38%, list=29%, signal=27%",Q15691/Q5T5Y3/P52735/Q8NDI1/Q9HBI1/Q08AD1/Q86VS8/P13797/Q15417
ENZYME_3,ENZYME_3,123,0.39203711819391857,0.9331343148090635,0.7432567432567433,0.9920079920079921,0.9654099624308166,1009,"tags=46%, list=42%, signal=28%",P36542/Q9UHY7/Q92889/Q9NR31/Q9Y303/P35573/Q15904/Q01432/O75964/P36873/Q13838/P30041/P60900/Q13724/P68104/P52888/P16615/P14735/P24539/P25786/Q96IV0/Q01780/P39748/P23526/P30049/Q92900/Q9UKK9/O14672/Q9BQ52/Q99538/Q9Y2L1/Q99575/Q9Y6A9/Q9BTY2/Q9NPH0/P08236/P28074/P09936/P20618/O75643/Q14697/Q9UHI6/Q9BU02/Q99436/Q9BY50/O00571/P55265/Q15181/Q7L014/Q7Z2Z2/Q05639/Q14562/P28066/Q01433/P25705/P07711
